codigoEquipamiento,pesoKg
26,10.0
27,10.0
28,15.0
29,20.0
30,15.0
31,20.0
32,20.0
33,15.0
34,10.0
35,15.0
36,20.0
37,15.0
38,10.0
39,30.0
40,22.5
41,22.5
42,25.0
43,2.5
44,20.0
45,35.0
46,2.5
47,7.5
48,2.5
49,10.0
50,35.0
51,40.0
52,17.5
53,5.0
54,40.0
55,15.0
56,30.0
57,25.0
58,5.0
59,22.5
60,20.0
61,17.5
62,17.5
63,2.5
64,5.0
65,2.5
66,35.0
67,12.5
68,5.0
69,7.5
70,30.0
71,2.5
72,22.5
73,22.5
74,35.0
75,17.5
76,25.0
77,30.0
78,1.25
79,2.5
80,15.0
81,5.0
82,10.0
83,15.0
84,2.5
85,2.5
86,1.25
87,1.25
88,15.0
89,1.25
90,20.0
91,2.5
92,10.0
93,20.0
94,1.25
95,10.0
96,1.25
97,20.0
98,2.5
99,2.5
100,10.0
101,10.0
102,2.5
103,5.0
104,2.5
105,1.25
106,5.0
107,2.5
108,15.0
109,15.0
110,15.0
111,1.25
112,15.0
113,5.0
114,10.0
115,15.0
116,10.0
117,15.0
118,10.0
119,5.0
120,20.0
121,15.0
122,2.5
123,10.0
124,2.5
125,20.0
126,15.0
127,15.0
128,5.0
129,1.25
130,20.0
131,2.5
132,1.25
133,2.5
134,1.25
135,10.0
136,15.0
137,2.5
138,5.0
139,1.25
140,2.5
141,10.0
142,1.25
143,2.5
144,5.0
145,5.0
146,20.0
147,15.0
148,10.0
149,20.0
150,20.0
151,5.0
152,10.0
153,15.0
154,10.0
155,2.5
156,5.0
157,20.0
