codigoEquipamiento,idTipoEquipamiento,idModelo,fechaAdquisicion
1,1,16,2026-02-23
2,1,18,2026-04-29
3,1,17,2026-01-15
4,1,6,2025-01-28
5,1,3,2026-01-30
6,1,9,2025-12-22
7,1,16,2025-12-16
8,1,4,2025-03-13
9,1,4,2025-10-12
10,1,20,2025-10-21
11,1,15,2025-01-11
12,1,15,2026-04-26
13,1,16,2026-03-20
14,1,2,2025-11-13
15,1,3,2025-11-27
16,1,8,2025-07-18
17,1,16,2026-02-12
18,1,19,2026-03-29
19,1,14,2025-09-09
20,1,4,2025-12-06
21,1,1,2025-12-26
22,1,2,2025-09-04
23,1,14,2026-03-02
24,1,4,2025-10-11
25,1,15,2025-01-27
26,2,8,2026-01-04
27,2,3,2025-12-07
28,2,5,2025-10-18
29,2,16,2025-02-14
30,2,17,2025-08-09
31,2,5,2025-11-04
32,2,11,2025-03-22
33,2,20,2025-12-24
34,2,19,2025-12-17
35,2,16,2025-10-14
36,2,17,2026-02-19
37,2,15,2025-10-28
38,3,9,2025-10-06
39,3,2,2026-02-14
40,3,17,2025-06-20
41,3,10,2025-12-26
42,3,11,2025-08-04
43,3,13,2026-02-19
44,3,17,2025-11-14
45,3,16,2025-04-05
46,3,20,2025-06-02
47,3,18,2026-04-26
48,3,5,2026-03-22
49,3,4,2025-10-30
50,3,10,2025-03-20
51,3,13,2026-02-22
52,3,16,2026-01-06
53,3,19,2025-07-17
54,3,19,2025-06-17
55,3,15,2026-04-10
56,3,19,2025-10-02
57,3,10,2025-08-07
58,3,18,2026-01-25
59,3,9,2025-10-07
60,3,12,2026-02-11
61,3,13,2026-02-24
62,3,5,2026-05-13
63,3,10,2025-01-09
64,3,20,2025-10-29
65,3,19,2025-02-27
66,3,4,2025-09-09
67,3,17,2026-03-16
68,3,8,2026-05-31
69,3,2,2026-01-17
70,3,5,2026-01-18
71,3,6,2025-06-08
72,3,15,2025-11-17
73,3,13,2025-11-01
74,3,15,2026-03-15
75,3,9,2025-08-31
76,3,1,2025-04-28
77,3,17,2026-02-16
78,4,11,2026-03-08
79,4,11,2025-02-15
80,4,18,2026-04-09
81,4,13,2026-01-18
82,4,5,2026-04-14
83,4,7,2026-01-31
84,4,5,2025-07-09
85,4,13,2026-01-08
86,4,8,2025-03-21
87,4,2,2025-02-06
88,4,9,2025-10-06
89,4,16,2025-07-19
90,4,10,2026-03-27
91,4,15,2025-11-27
92,4,4,2025-12-15
93,4,15,2025-12-17
94,4,15,2026-03-26
95,4,14,2026-05-12
96,4,9,2026-05-09
97,4,4,2025-10-21
98,4,12,2026-02-14
99,4,9,2025-05-30
100,4,8,2025-10-26
101,4,8,2026-01-13
102,4,5,2026-01-13
103,4,11,2025-04-19
104,4,3,2025-08-30
105,4,13,2025-03-27
106,4,8,2025-06-05
107,4,14,2026-04-07
108,4,8,2025-06-17
109,4,19,2025-07-08
110,4,13,2026-01-29
111,4,7,2026-07-24
112,4,11,2025-11-29
113,4,13,2025-12-19
114,4,14,2025-11-25
115,4,9,2025-10-02
116,4,20,2026-03-09
117,4,10,2026-05-02
118,4,16,2026-05-21
119,4,16,2025-10-29
120,4,4,2025-05-19
121,4,4,2025-03-01
122,4,13,2025-01-23
123,4,6,2025-10-08
124,4,16,2025-11-13
125,4,20,2026-03-09
126,4,17,2025-08-13
127,4,4,2025-11-03
128,4,16,2025-09-27
129,4,3,2025-02-03
130,4,12,2025-10-26
131,4,7,2025-10-15
132,4,8,2025-01-06
133,4,11,2026-03-04
134,4,14,2025-06-07
135,4,11,2025-10-07
136,4,16,2025-12-26
137,4,20,2025-12-21
138,4,5,2025-10-21
139,4,11,2026-07-23
140,4,15,2026-03-08
141,4,8,2025-05-19
142,4,1,2025-10-25
143,4,13,2025-06-12
144,4,2,2026-05-07
145,4,6,2026-06-08
146,4,4,2025-12-29
147,4,5,2025-03-03
148,4,14,2025-08-17
149,4,2,2026-07-28
150,4,5,2025-12-23
151,4,16,2025-02-06
152,4,9,2025-10-23
153,4,11,2025-09-22
154,4,12,2025-10-13
155,4,2,2026-05-07
156,4,8,2025-02-18
157,4,18,2026-02-24
158,5,20,2026-07-19
159,5,2,2025-11-18
160,5,4,2025-10-23
161,5,10,2025-03-28
162,5,18,2025-11-08
163,5,1,2025-03-11
164,5,17,2025-09-08
165,5,12,2025-10-30
166,5,14,2026-02-10
167,5,11,2025-06-20
168,5,10,2025-07-17
169,5,9,2025-02-26
170,6,9,2025-01-19
171,6,8,2025-01-23
172,6,15,2025-06-27
173,6,20,2025-11-25
174,6,14,2026-01-01
175,6,19,2025-08-18
176,6,19,2025-12-04
177,6,19,2026-01-13
178,6,8,2025-09-01
179,6,2,2025-12-22
180,6,15,2026-03-17
181,6,20,2025-12-31
182,6,1,2025-12-24
183,6,19,2025-12-29
184,6,14,2025-05-19
185,6,7,2025-10-15
186,6,10,2025-11-01
187,6,13,2026-01-10
188,6,20,2026-05-26
189,6,20,2025-07-01
190,7,11,2025-11-09
191,7,6,2025-09-17
192,7,15,2025-03-09
193,7,19,2025-10-08
194,7,4,2025-11-18
195,7,15,2025-12-10
