codigoEquipamiento,fechaHoraCambio,idEstadoEquipamiento
1,2026-02-23 08:00:00,1
1,2026-03-25 09:00:00,2
1,2026-04-01 17:00:00,1
2,2026-04-29 08:00:00,1
2,2026-06-11 09:00:00,2
2,2026-06-18 17:00:00,1
3,2026-01-15 08:00:00,1
4,2025-01-28 08:00:00,1
5,2026-01-30 08:00:00,1
6,2025-12-22 08:00:00,1
6,2026-01-02 09:00:00,2
6,2026-01-07 17:00:00,1
7,2025-12-16 08:00:00,1
7,2026-01-04 09:00:00,2
7,2026-01-07 17:00:00,1
8,2025-03-13 08:00:00,1
8,2025-03-26 09:00:00,2
8,2025-04-06 17:00:00,1
9,2025-10-12 08:00:00,1
9,2026-04-27 09:00:00,2
9,2026-05-12 17:00:00,1
10,2025-10-21 08:00:00,1
11,2025-01-11 08:00:00,1
12,2026-04-26 08:00:00,1
12,2026-07-21 09:00:00,2
12,2026-07-31 17:00:00,1
13,2026-03-20 08:00:00,1
14,2025-11-13 08:00:00,1
15,2025-11-27 08:00:00,1
16,2025-07-18 08:00:00,1
17,2026-02-12 08:00:00,1
17,2026-02-15 09:00:00,2
17,2026-02-27 17:00:00,1
18,2026-03-29 08:00:00,1
19,2025-09-09 08:00:00,1
19,2025-11-30 09:00:00,2
19,2025-12-06 17:00:00,1
20,2025-12-06 08:00:00,1
21,2025-12-26 08:00:00,1
22,2025-09-04 08:00:00,1
23,2026-03-02 08:00:00,1
24,2025-10-11 08:00:00,1
25,2025-01-27 08:00:00,1
26,2026-01-04 08:00:00,1
26,2026-05-21 09:00:00,2
26,2026-06-01 17:00:00,1
27,2025-12-07 08:00:00,1
28,2025-10-18 08:00:00,1
29,2025-02-14 08:00:00,1
30,2025-08-09 08:00:00,1
30,2025-08-26 09:00:00,2
30,2025-09-06 17:00:00,1
31,2025-11-04 08:00:00,1
32,2025-03-22 08:00:00,1
33,2025-12-24 08:00:00,1
34,2025-12-17 08:00:00,1
35,2025-10-14 08:00:00,1
35,2026-04-28 09:00:00,2
35,2026-05-06 17:00:00,1
35,2026-08-04 09:00:00,2
35,2026-08-07 17:00:00,1
36,2026-02-19 08:00:00,1
37,2025-10-28 08:00:00,1
38,2025-10-06 08:00:00,1
39,2026-02-14 08:00:00,1
40,2025-06-20 08:00:00,1
40,2025-07-14 09:00:00,2
41,2025-12-26 08:00:00,1
42,2025-08-04 08:00:00,1
43,2026-02-19 08:00:00,1
44,2025-11-14 08:00:00,1
45,2025-04-05 08:00:00,1
46,2025-06-02 08:00:00,1
47,2026-04-26 08:00:00,1
48,2026-03-22 08:00:00,1
49,2025-10-30 08:00:00,1
50,2025-03-20 08:00:00,1
51,2026-02-22 08:00:00,1
52,2026-01-06 08:00:00,1
53,2025-07-17 08:00:00,1
54,2025-06-17 08:00:00,1
55,2026-04-10 08:00:00,1
56,2025-10-02 08:00:00,1
57,2025-08-07 08:00:00,1
57,2025-12-17 09:00:00,2
57,2025-12-20 17:00:00,1
58,2026-01-25 08:00:00,1
59,2025-10-07 08:00:00,1
60,2026-02-11 08:00:00,1
61,2026-02-24 08:00:00,1
62,2026-05-13 08:00:00,1
63,2025-01-09 08:00:00,1
64,2025-10-29 08:00:00,1
64,2026-07-25 09:00:00,2
64,2026-08-03 17:00:00,1
65,2025-02-27 08:00:00,1
66,2025-09-09 08:00:00,1
67,2026-03-16 08:00:00,1
68,2026-05-31 08:00:00,1
69,2026-01-17 08:00:00,1
70,2026-01-18 08:00:00,1
71,2025-06-08 08:00:00,1
72,2025-11-17 08:00:00,1
73,2025-11-01 08:00:00,1
73,2026-05-29 09:00:00,2
73,2026-06-07 17:00:00,1
74,2026-03-15 08:00:00,1
75,2025-08-31 08:00:00,1
76,2025-04-28 08:00:00,1
77,2026-02-16 08:00:00,1
78,2026-03-08 08:00:00,1
79,2025-02-15 08:00:00,1
80,2026-04-09 08:00:00,1
81,2026-01-18 08:00:00,1
82,2026-04-14 08:00:00,1
83,2026-01-31 08:00:00,1
84,2025-07-09 08:00:00,1
85,2026-01-08 08:00:00,1
86,2025-03-21 08:00:00,1
87,2025-02-06 08:00:00,1
88,2025-10-06 08:00:00,1
89,2025-07-19 08:00:00,1
90,2026-03-27 08:00:00,1
91,2025-11-27 08:00:00,1
92,2025-12-15 08:00:00,1
93,2025-12-17 08:00:00,1
94,2026-03-26 08:00:00,1
95,2026-05-12 08:00:00,1
96,2026-05-09 08:00:00,1
97,2025-10-21 08:00:00,1
98,2026-02-14 08:00:00,1
99,2025-05-30 08:00:00,1
100,2025-10-26 08:00:00,1
101,2026-01-13 08:00:00,1
102,2026-01-13 08:00:00,1
103,2025-04-19 08:00:00,1
103,2025-10-01 09:00:00,2
103,2025-10-13 17:00:00,1
104,2025-08-30 08:00:00,1
105,2025-03-27 08:00:00,1
106,2025-06-05 08:00:00,1
107,2026-04-07 08:00:00,1
108,2025-06-17 08:00:00,1
109,2025-07-08 08:00:00,1
110,2026-01-29 08:00:00,1
111,2026-07-24 08:00:00,1
112,2025-11-29 08:00:00,1
113,2025-12-19 08:00:00,1
114,2025-11-25 08:00:00,1
115,2025-10-02 08:00:00,1
116,2026-03-09 08:00:00,1
117,2026-05-02 08:00:00,1
118,2026-05-21 08:00:00,1
119,2025-10-29 08:00:00,1
120,2025-05-19 08:00:00,1
121,2025-03-01 08:00:00,1
122,2025-01-23 08:00:00,1
123,2025-10-08 08:00:00,1
124,2025-11-13 08:00:00,1
125,2026-03-09 08:00:00,1
126,2025-08-13 08:00:00,1
127,2025-11-03 08:00:00,1
128,2025-09-27 08:00:00,1
129,2025-02-03 08:00:00,1
130,2025-10-26 08:00:00,1
131,2025-10-15 08:00:00,1
132,2025-01-06 08:00:00,1
133,2026-03-04 08:00:00,1
133,2026-05-26 09:00:00,2
133,2026-06-08 17:00:00,1
134,2025-06-07 08:00:00,1
135,2025-10-07 08:00:00,1
135,2026-04-09 09:00:00,2
135,2026-04-20 17:00:00,1
135,2026-06-09 09:00:00,2
135,2026-06-19 17:00:00,1
136,2025-12-26 08:00:00,1
137,2025-12-21 08:00:00,1
138,2025-10-21 08:00:00,1
139,2026-07-23 08:00:00,1
140,2026-03-08 08:00:00,1
141,2025-05-19 08:00:00,1
142,2025-10-25 08:00:00,1
143,2025-06-12 08:00:00,1
144,2026-05-07 08:00:00,1
145,2026-06-08 08:00:00,1
146,2025-12-29 08:00:00,1
147,2025-03-03 08:00:00,1
148,2025-08-17 08:00:00,1
149,2026-07-28 08:00:00,1
150,2025-12-23 08:00:00,1
151,2025-02-06 08:00:00,1
152,2025-10-23 08:00:00,1
153,2025-09-22 08:00:00,1
154,2025-10-13 08:00:00,1
155,2026-05-07 08:00:00,1
156,2025-02-18 08:00:00,1
157,2026-02-24 08:00:00,1
158,2026-07-19 08:00:00,1
159,2025-11-18 08:00:00,1
160,2025-10-23 08:00:00,1
161,2025-03-28 08:00:00,1
162,2025-11-08 08:00:00,1
163,2025-03-11 08:00:00,1
164,2025-09-08 08:00:00,1
165,2025-10-30 08:00:00,1
166,2026-02-10 08:00:00,1
167,2025-06-20 08:00:00,1
168,2025-07-17 08:00:00,1
169,2025-02-26 08:00:00,1
170,2025-01-19 08:00:00,1
171,2025-01-23 08:00:00,1
172,2025-06-27 08:00:00,1
173,2025-11-25 08:00:00,1
174,2026-01-01 08:00:00,1
175,2025-08-18 08:00:00,1
176,2025-12-04 08:00:00,1
177,2026-01-13 08:00:00,1
178,2025-09-01 08:00:00,1
179,2025-12-22 08:00:00,1
180,2026-03-17 08:00:00,1
181,2025-12-31 08:00:00,1
182,2025-12-24 08:00:00,1
183,2025-12-29 08:00:00,1
184,2025-05-19 08:00:00,1
185,2025-10-15 08:00:00,1
186,2025-11-01 08:00:00,1
187,2026-01-10 08:00:00,1
188,2026-05-26 08:00:00,1
189,2025-07-01 08:00:00,1
190,2025-11-09 08:00:00,1
191,2025-09-17 08:00:00,1
192,2025-03-09 08:00:00,1
193,2025-10-08 08:00:00,1
194,2025-11-18 08:00:00,1
195,2025-12-10 08:00:00,1
196,2025-09-14 08:00:00,1
197,2026-01-03 08:00:00,1
198,2025-12-04 08:00:00,1
198,2026-07-14 09:00:00,2
198,2026-07-24 17:00:00,1
199,2026-03-24 08:00:00,1
200,2025-12-29 08:00:00,1
201,2025-10-28 08:00:00,1
201,2026-07-14 09:00:00,2
201,2026-07-20 17:00:00,1
202,2026-02-15 08:00:00,1
203,2026-07-24 08:00:00,1
204,2025-11-17 08:00:00,1
205,2025-12-24 08:00:00,1
206,2025-11-18 08:00:00,1
207,2025-08-05 08:00:00,1
208,2026-03-27 08:00:00,1
209,2026-03-09 08:00:00,1
210,2025-10-23 08:00:00,1
211,2025-10-06 08:00:00,1
212,2025-05-12 08:00:00,1
213,2025-07-20 08:00:00,1
214,2025-12-27 08:00:00,1
215,2026-06-02 08:00:00,1
216,2026-05-23 08:00:00,1
217,2025-08-08 08:00:00,1
218,2025-10-09 08:00:00,1
219,2025-10-28 08:00:00,1
220,2026-06-26 08:00:00,1
221,2026-07-15 08:00:00,1
222,2025-12-30 08:00:00,1
223,2026-02-18 08:00:00,1
224,2026-02-19 08:00:00,1
225,2026-07-28 08:00:00,1
