legajo,fecha,monto
1,2026-07-31,1800000.0
1,2026-08-31,1800000.0
2,2026-07-31,1800000.0
2,2026-08-31,1800000.0
3,2025-12-31,1500000.0
3,2026-01-31,1500000.0
3,2026-02-28,1500000.0
3,2026-03-31,1500000.0
3,2026-04-30,1500000.0
3,2026-05-31,1500000.0
3,2026-06-30,1500000.0
3,2026-07-31,1500000.0
3,2026-08-31,1500000.0
4,2026-05-31,1200000.0
4,2026-06-30,1200000.0
4,2026-07-31,1200000.0
4,2026-08-31,1200000.0
5,2025-10-31,1890000.0
5,2025-11-30,1890000.0
5,2025-12-31,1890000.0
5,2026-01-31,1890000.0
5,2026-02-28,1890000.0
5,2026-03-31,1890000.0
5,2026-04-30,1890000.0
5,2026-05-31,1890000.0
5,2026-06-30,1890000.0
5,2026-07-31,1890000.0
5,2026-08-31,1890000.0
6,2025-11-30,1890000.0
6,2025-12-31,1890000.0
6,2026-01-31,1890000.0
6,2026-02-28,1890000.0
6,2026-03-31,1890000.0
6,2026-04-30,1890000.0
6,2026-05-31,1890000.0
7,2026-05-31,1575000.0
7,2026-06-30,1575000.0
7,2026-07-31,1575000.0
7,2026-08-31,1575000.0
8,2025-12-31,1260000.0
8,2026-01-31,1260000.0
8,2026-02-28,1260000.0
8,2026-03-31,1260000.0
8,2026-04-30,1260000.0
8,2026-05-31,1260000.0
8,2026-06-30,1260000.0
8,2026-07-31,1260000.0
8,2026-08-31,1260000.0
9,2025-12-31,1980000.0
9,2026-01-31,1980000.0
9,2026-02-28,1980000.0
9,2026-03-31,1980000.0
9,2026-04-30,1980000.0
9,2026-05-31,1980000.0
9,2026-06-30,1980000.0
9,2026-07-31,1980000.0
9,2026-08-31,1980000.0
10,2025-11-30,1980000.0
10,2025-12-31,1980000.0
10,2026-01-31,1980000.0
10,2026-02-28,1980000.0
10,2026-03-31,1980000.0
10,2026-04-30,1980000.0
10,2026-05-31,1980000.0
10,2026-06-30,1980000.0
10,2026-07-31,1980000.0
10,2026-08-31,1980000.0
11,2025-10-31,1650000.0
12,2025-11-30,1320000.0
12,2025-12-31,1320000.0
12,2026-01-31,1320000.0
12,2026-02-28,1320000.0
12,2026-03-31,1320000.0
12,2026-04-30,1320000.0
12,2026-05-31,1320000.0
12,2026-06-30,1320000.0
12,2026-07-31,1320000.0
12,2026-08-31,1320000.0
13,2026-07-31,1890000.0
13,2026-08-31,1890000.0
14,2025-11-30,1890000.0
14,2025-12-31,1890000.0
14,2026-01-31,1890000.0
14,2026-02-28,1890000.0
14,2026-03-31,1890000.0
14,2026-04-30,1890000.0
14,2026-05-31,1890000.0
14,2026-06-30,1890000.0
14,2026-07-31,1890000.0
14,2026-08-31,1890000.0
15,2025-11-30,1500000.0
15,2025-12-31,1500000.0
15,2026-01-31,1500000.0
15,2026-02-28,1500000.0
15,2026-03-31,1500000.0
15,2026-04-30,1500000.0
15,2026-05-31,1500000.0
15,2026-06-30,1500000.0
15,2026-07-31,1500000.0
15,2026-08-31,1500000.0
16,2026-06-30,1320000.0
16,2026-07-31,1320000.0
16,2026-08-31,1320000.0
