codigoEquipamiento,fechaSolicitud,fechaReincorporacion,costoReparacion
1,2026-03-25,2026-04-01,
2,2026-06-11,2026-06-18,20000.0
6,2026-01-02,2026-01-07,35000.0
7,2026-01-04,2026-01-07,35000.0
8,2025-03-26,2025-04-06,5000.0
9,2026-04-27,2026-05-12,20000.0
12,2026-07-21,2026-07-31,10000.0
17,2026-02-15,2026-02-27,10000.0
19,2025-11-30,2025-12-06,10000.0
26,2026-05-21,2026-06-01,50000.0
30,2025-08-26,2025-09-06,10000.0
35,2026-04-28,2026-05-06,5000.0
35,2026-08-04,2026-08-07,20000.0
57,2025-12-17,2025-12-20,5000.0
64,2026-07-25,2026-08-03,20000.0
73,2026-05-29,2026-06-07,35000.0
103,2025-10-01,2025-10-13,35000.0
133,2026-05-26,2026-06-08,5000.0
135,2026-04-09,2026-04-20,10000.0
135,2026-06-09,2026-06-19,10000.0
198,2026-07-14,2026-07-24,
201,2026-07-14,2026-07-20,20000.0
